nossa condolências e insatisfeito a sua perda,insatisfeito
desanimo  insatisfeito  solidão ou vazies depressão,insatisfeito
vivo te desanimando,insatisfeito
estou desanimado,insatisfeito
imperador sanguinário  depravado e temeroso,insatisfeito
meu ser esta em agonia,insatisfeito
este atrito entre nos tem que acabar,insatisfeito
a escuridão desola meu ser,insatisfeito
sua falsa preocupação,insatisfeito
sua falsidade me entristece,insatisfeito
quem esta descontente com os outros esta descontente consigo próprio,insatisfeito
a torcida esta descontente com a demissão do tecnico,insatisfeito
estou bastante aborrecido com o jornal,insatisfeito
me sinto solitário e entediado,insatisfeito
a vida e solitária para aqueles que não são falsos,insatisfeito
como com compulsão depois da depressão,insatisfeito
estou me desencorajando a viver,insatisfeito
ele desencoraja minhas vontades,insatisfeito
isso vai deprimindo por dentro,insatisfeito
acho que isso e defeituoso,insatisfeito
os remedios me derrubam na cama,insatisfeito
a depressão vai me derrubar,insatisfeito
suas desculpas são falsas,insatisfeito
não magoe as pessoas,insatisfeito
